image_path,height,width,aux_len,used_bits,capacity_bits,capacity_bpp,exact_reconstruction,mse,psnr_db,time_total_s
1.pgm,512,512,737623,737623,1603989,6.118732,1,0,inf,3.436664
10.pgm,512,512,825423,825423,1439619,5.491711,1,0,inf,3.669393
100.pgm,512,512,815879,815879,1493267,5.696362,1,0,inf,3.409388
1000.pgm,512,512,789967,789967,1591075,6.069469,1,0,inf,3.011808
10000.pgm,512,512,810066,810066,1507520,5.750732,1,0,inf,3.022055
1001.pgm,512,512,731492,731492,1721820,6.568222,1,0,inf,3.337514
1002.pgm,512,512,788506,788506,1572757,5.999592,1,0,inf,3.080126
1003.pgm,512,512,807883,807883,1470322,5.608833,1,0,inf,3.03572
1004.pgm,512,512,741746,741746,1678172,6.401718,1,0,inf,3.044693
1005.pgm,512,512,829416,829416,1418599,5.411526,1,0,inf,3.044242
1006.pgm,512,512,852017,852017,1141618,4.354927,1,0,inf,3.174901
1007.pgm,512,512,864653,864653,1301780,4.965897,1,0,inf,3.058766
1008.pgm,512,512,768731,768731,1643769,6.270481,1,0,inf,3.247728
1009.pgm,512,512,808286,808286,1528254,5.829826,1,0,inf,3.316377
101.pgm,512,512,844912,844912,1256053,4.791462,1,0,inf,3.018218
1010.pgm,512,512,758522,758522,1667391,6.360592,1,0,inf,3.011631
1011.pgm,512,512,799468,799468,1568749,5.984303,1,0,inf,3.195879
1012.pgm,512,512,834473,834473,1494439,5.700832,1,0,inf,3.098934
1013.pgm,512,512,777254,777254,1624000,6.195068,1,0,inf,2.967564
1014.pgm,512,512,761092,761092,1656140,6.317673,1,0,inf,3.107712
1015.pgm,512,512,795052,795052,1576835,6.015148,1,0,inf,3.102273
1016.pgm,512,512,729039,729039,1730616,6.601776,1,0,inf,2.918016
1017.pgm,512,512,694168,694168,1809164,6.901413,1,0,inf,3.052593
1018.pgm,512,512,729781,729781,1720769,6.564213,1,0,inf,2.845248
1019.pgm,512,512,806873,806873,1532823,5.847256,1,0,inf,3.115552
102.pgm,512,512,812431,812431,1279997,4.882801,1,0,inf,3.224016
1020.pgm,512,512,822428,822428,1473143,5.619595,1,0,inf,3.071651
1021.pgm,512,512,816216,816216,1264437,4.823444,1,0,inf,3.547222
1022.pgm,512,512,790553,790553,1344183,5.127651,1,0,inf,3.888429
1023.pgm,512,512,789724,789724,1559442,5.948799,1,0,inf,3.450957
1024.pgm,512,512,769361,769361,1632630,6.227989,1,0,inf,3.293408
1025.pgm,512,512,777360,777360,1599077,6.099995,1,0,inf,3.317001
1026.pgm,512,512,826903,826903,1498666,5.716957,1,0,inf,3.390309
1027.pgm,512,512,767826,767826,1641941,6.263508,1,0,inf,3.307429
1028.pgm,512,512,786203,786203,1609149,6.138416,1,0,inf,3.272631
1029.pgm,512,512,775824,775824,1617394,6.169868,1,0,inf,3.389734
103.pgm,512,512,747385,747385,1692548,6.456558,1,0,inf,3.184162
1030.pgm,512,512,760708,760708,1659694,6.33123,1,0,inf,3.118425
1031.pgm,512,512,651950,651950,1875353,7.153904,1,0,inf,3.153607
1032.pgm,512,512,862501,862501,1322741,5.045856,1,0,inf,4.976859
1033.pgm,512,512,819728,819728,1423766,5.431236,1,0,inf,4.789415
1034.pgm,512,512,743400,743400,1671753,6.377232,1,0,inf,3.488852
1035.pgm,512,512,774116,774116,1632270,6.226616,1,0,inf,3.725323
1036.pgm,512,512,804847,804847,1376117,5.24947,1,0,inf,3.296857
1037.pgm,512,512,647978,647978,1878971,7.167706,1,0,inf,2.934847
1038.pgm,512,512,677363,677363,1839467,7.01701,1,0,inf,3.336517
1039.pgm,512,512,833452,833452,1359660,5.186691,1,0,inf,4.113305
104.pgm,512,512,797897,797897,1568974,5.985161,1,0,inf,3.609852
1040.pgm,512,512,833448,833448,1453285,5.543842,1,0,inf,3.614571
1041.pgm,512,512,864921,864921,1209102,4.612358,1,0,inf,3.527993
1042.pgm,512,512,674211,674211,1835526,7.001976,1,0,inf,3.318398
1043.pgm,512,512,797008,797008,1583329,6.039921,1,0,inf,3.47378
1044.pgm,512,512,635526,635526,1908298,7.279579,1,0,inf,3.172216
1045.pgm,512,512,723928,723928,1744953,6.656467,1,0,inf,3.274647
1046.pgm,512,512,765338,765338,1651651,6.300549,1,0,inf,3.300089
1047.pgm,512,512,775221,775221,1624455,6.196804,1,0,inf,3.284056
1048.pgm,512,512,792773,792773,1537612,5.865524,1,0,inf,3.193323
1049.pgm,512,512,690573,690573,1807349,6.894489,1,0,inf,3.036027
105.pgm,512,512,776153,776153,1616737,6.167362,1,0,inf,3.289211
1050.pgm,512,512,835475,835475,1236455,4.716702,1,0,inf,3.154076
1051.pgm,512,512,741966,741966,1709469,6.521107,1,0,inf,3.158013
1052.pgm,512,512,807902,807902,1529502,5.834587,1,0,inf,3.088108
1053.pgm,512,512,742629,742629,1700326,6.486229,1,0,inf,3.028505
1054.pgm,512,512,748844,748844,1684340,6.425247,1,0,inf,2.970923
1055.pgm,512,512,789864,789864,1255334,4.788719,1,0,inf,3.12273
1056.pgm,512,512,774086,774086,1633906,6.232857,1,0,inf,3.155511
1057.pgm,512,512,790627,790627,1553333,5.925495,1,0,inf,3.180948
1058.pgm,512,512,706338,706338,1778292,6.783646,1,0,inf,3.322339
1059.pgm,512,512,763867,763867,1655266,6.314339,1,0,inf,3.259519
106.pgm,512,512,803286,803286,1563547,5.964458,1,0,inf,3.223788
1060.pgm,512,512,828234,828234,1455771,5.553326,1,0,inf,3.175013
1061.pgm,512,512,795463,795463,1268367,4.838436,1,0,inf,3.358654
1062.pgm,512,512,700483,700483,1785760,6.812134,1,0,inf,3.087261
1063.pgm,512,512,713774,713774,1768960,6.748047,1,0,inf,3.237268
1064.pgm,512,512,848592,848592,1435768,5.47702,1,0,inf,3.05047
1065.pgm,512,512,743514,743514,1697944,6.477142,1,0,inf,2.986324
1066.pgm,512,512,730574,730574,1729068,6.595871,1,0,inf,3.094397
1067.pgm,512,512,724190,724190,1731154,6.603828,1,0,inf,3.260987
1068.pgm,512,512,757747,757747,1669549,6.368824,1,0,inf,3.090775
1069.pgm,512,512,869935,869935,1219563,4.652264,1,0,inf,3.357012
107.pgm,512,512,811230,811230,1290501,4.922871,1,0,inf,3.405298
1070.pgm,512,512,822832,822832,1379772,5.263412,1,0,inf,3.243359
1071.pgm,512,512,712259,712259,1772947,6.763256,1,0,inf,3.090677
1072.pgm,512,512,725831,725831,1734410,6.616249,1,0,inf,3.360665
1073.pgm,512,512,717398,717398,1745425,6.658268,1,0,inf,2.990949
1074.pgm,512,512,810651,810651,1445643,5.51469,1,0,inf,3.228461
1075.pgm,512,512,790401,790401,1326390,5.059776,1,0,inf,3.338074
1076.pgm,512,512,758294,758294,1658248,6.325714,1,0,inf,3.200394
