image_path,complexity_score,label,mse,psnr_db,time_total_s
1.pgm,830.66,normal,258.296165,24.009624,0.306269
10.pgm,1209.74,normal,197.488762,25.17538,0.318828
100.pgm,644.05,normal,176.902874,25.653455,0.317157
1000.pgm,989.75,normal,217.610493,24.754005,0.319131
10000.pgm,555.05,normal,106.811928,27.844606,0.330769
1001.pgm,172.1,normal,52.973774,30.890194,0.338997
1002.pgm,1973.36,complex,20837.84095,4.942276,115.980754
1003.pgm,845.97,normal,110.811264,27.684965,0.230556
1004.pgm,454.74,normal,239.463688,24.338407,0.230165
1005.pgm,1138.62,normal,262.719944,23.935873,0.228402
1006.pgm,6650.82,complex,25849.55448,4.006273,114.783629
1007.pgm,2871.85,complex,21319.00295,4.843135,116.064062
1008.pgm,631.23,normal,95.197186,28.344563,0.238145
1009.pgm,1091.2,normal,132.055176,26.923249,0.244391
101.pgm,2429.3,complex,13026.64658,6.982477,117.042401
1010.pgm,320.49,normal,79.535152,29.125212,0.230105
1011.pgm,1518.61,complex,4845.859177,11.277096,116.311523
1012.pgm,1167.07,normal,136.462227,26.780679,0.235113
1013.pgm,707.11,normal,150.812607,26.346427,0.227831
1014.pgm,385.01,normal,64.910332,30.007665,0.269269
1015.pgm,749.81,normal,121.786396,27.274816,0.241253
1016.pgm,60.18,normal,50.333538,31.112229,0.228225
1017.pgm,61.79,normal,79.979839,29.100998,0.266552
1018.pgm,142.57,normal,101.54221,28.064338,0.229367
1019.pgm,1346.67,normal,190.247978,25.337603,0.281641
102.pgm,982.9,normal,170.576969,25.8116,0.229706
1020.pgm,1339.91,normal,238.695667,24.352358,0.226264
1021.pgm,1714.67,complex,9026.721508,8.575503,192.632108
1022.pgm,824.73,normal,103.790558,27.969225,0.439704
1023.pgm,558.12,normal,106.329773,27.864255,0.430746
1024.pgm,131.68,normal,35.657944,32.609241,0.431055
1025.pgm,220.78,normal,74.528008,29.407609,0.423223
1026.pgm,1353.9,normal,313.505138,23.168357,0.437604
1027.pgm,376.42,normal,145.042393,26.515854,0.433377
